name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Freed-Hardeman University,Tennessee,TN,Private,4 Year,8260,21950,30210,21950,30210,20,Tennessee,43700,78200,54,9
Fremont College,California,CA,For Profit,2 Year,,36400,36400,36400,36400,,,,,,
Fresno City College,California,CA,Public,2 Year,,1420,1420,9160,9160,,,,,,
Fresno Pacific University,California,CA,Private,4 Year,8676,31452,40128,31452,40128,,,,,,
Friends University,Kansas,KS,Private,4 Year,7972,28415,36387,28415,36387,21,Kansas,44700,76500,59,14
Front Range Community College,Colorado,CO,Public,2 Year,,3986,3986,15074,15074,,,,,,
Frostburg State University,Maryland,MD,Public,4 Year,10202,9172,19374,22892,33094,21,Maryland,49600,87000,48,19
Fullerton College,California,CA,Public,2 Year,,1445,1445,9185,9185,,,,,,
Fulton-Montgomery Community College,New York,NY,Public,2 Year,11870,5460,17330,10060,21930,,,,,,
Furman University,South Carolina,SC,Private,4 Year,12712,49532,62244,49532,62244,,,,,,
Gadsden State Community College,Alabama,AL,Public,2 Year,3600,4800,8400,8430,12030,,,,,,
Gallaudet University,,DC,Private,4 Year,14100,17038,31138,17038,31138,,,,,,
Galveston College,Texas,TX,Public,2 Year,,2050,2050,4600,4600,,,,,,
Gannon University,Pennsylvania,PA,Private,4 Year,12650,32136,44786,32136,44786,,,,,,
Garden City Community College,Kansas,KS,Public,2 Year,5450,3120,8570,3690,9140,,,,,,
Gardner-Webb University,North Carolina,NC,Private,4 Year,10390,31220,41610,31220,41610,,,,,,
Garrett College,Maryland,MD,Public,2 Year,8275,4380,12655,9870,18145,,,,,,
Gaston College,North Carolina,NC,Public,2 Year,,2386,2386,8146,8146,,,,,,
Gateway Community and Technical College,Kentucky,KY,Public,2 Year,,5350,5350,18040,18040,,,,,,
Gateway Community College,Connecticut,CT,Public,2 Year,,4404,4404,13644,13644,,,,,,
GateWay Community College,Arizona,AZ,Public,2 Year,,2580,2580,9810,9810,,,,,,
Gateway Technical College,Wisconsin,WI,Public,2 Year,,4026,4026,6039,6039,,,,,,
Gavilan College,California,CA,Public,2 Year,,1418,1418,8408,8408,,,,,,
Genesee Community College,New York,NY,Public,2 Year,8720,4640,13360,5240,13960,,,,,,
Geneva College,Pennsylvania,PA,Private,4 Year,10170,26730,36900,26730,36900,,,,,,
George C. Wallace Community College at Dothan,Alabama,AL,Public,2 Year,,4680,4680,8550,8550,,,,,,
George C. Wallace State Community College at Selma,Alabama,AL,Public,2 Year,,4440,4440,4440,4440,,,,,,
George Fox University,Oregon,OR,Private,4 Year,11250,36020,47270,36020,47270,13,Oregon,51200,89600,52,8
George Mason University,Virginia,VA,Public,4 Year,11460,12462,23922,35922,47382,8,Virginia,58900,105700,48,23
George Washington University,,DC,Private,4 Year,13850,55230,69080,55230,69080,,,,,,
Georgetown College,Kentucky,KY,Private,4 Year,9780,38650,48430,38650,48430,9,Kentucky,45000,81900,54,10
Georgetown University,,DC,Private,4 Year,16509,54104,70613,54104,70613,,,,,,
Georgia College and State University,Georgia,GA,Public,4 Year,11016,9346,20362,28060,39076,,,,,,
Georgia Gwinnett College,Georgia,GA,Public,4 Year,12870,6124,18994,18552,31422,,,,,,
Georgia Highlands College,Georgia,GA,Public,2 Year,,3844,3844,11590,11590,,,,,,
Georgia Institute of Technology,Georgia,GA,Public,4 Year,11884,12424,24308,33020,44904,,,,,,
Georgia Military College,Georgia,GA,Public,2 Year,,6120,6120,6120,6120,,,,,,
Georgia Northwestern Technical College,Georgia,GA,Public,2 Year,,3460,3460,6258,6258,,,,,,
Georgia Perimeter College,Georgia,GA,Public,2 Year,,3860,3860,11606,11606,,,,,,
Georgia Piedmont Technical College,Georgia,GA,Public,2 Year,,3454,3454,6124,6124,,,,,,
Georgia Southern University,Georgia,GA,Public,4 Year,10070,7422,17492,20904,30974,8,Georgia,49000,88000,49,17
Georgia Southwestern State University,Georgia,GA,Public,4 Year,8120,6336,14456,19412,27532,,,,,,
Georgia State University,Georgia,GA,Public,4 Year,11378,10858,22236,29432,40810,7,Georgia,50600,90800,47,18
Georgian Court University,New Jersey,NJ,Private,4 Year,10808,32876,43684,32876,43684,,,,,,
Germanna Community College,Virginia,VA,Public,2 Year,,4913,4913,10841,10841,,,,,,
Gettysburg College,Pennsylvania,PA,Private,4 Year,13010,54480,67490,54480,67490,12,Pennsylvania,58400,109300,39,24
Glen Oaks Community College,Michigan,MI,Public,2 Year,,4440,4440,7350,7350,,,,,,
Glendale Community College,California,CA,Public,2 Year,,1451,1451,8381,8381,,,,,,
Glendale Community College,Arizona,AZ,Public,2 Year,,2580,2580,9840,9840,,,,,,
Glenville State College,West Virginia,WV,Public,4 Year,,7327,7327,16565,16565,17,West-Virginia,37400,67700,60,3
Global University,Missouri,MO,Private,4 Year,,4770,4770,4770,4770,,,,,,
God's Bible School and College,Ohio,OH,Private,4 Year,,4270,4270,4270,4270,,,,,,
Goddard College,Vermont,VT,Private,4 Year,1698,16586,18284,16586,18284,10,Vermont,42700,76900,,0
Gogebic Community College,Michigan,MI,Public,2 Year,5600,4924,10524,7373,12973,,,,,,
Golden Gate University,California,CA,Private,4 Year,,15840,15840,15840,15840,,,,,,
Golden West College,California,CA,Public,2 Year,,1452,1452,9552,9552,,,,,,
Goldey-Beacom College,Delaware,DE,Private,4 Year,6400,24300,30700,24300,30700,2,Delaware,49800,86900,42,25
Goldfarb School of Nursing at Barnes-Jewish College,Missouri,MO,Private,4 Year,,21150,21150,21150,21150,,,,,,
Gonzaga University,Washington,WA,Private,4 Year,11944,43210,55154,43210,55154,4,Washington,57800,107600,51,19
Good Samaritan College of Nursing and Health Science,Ohio,OH,Private,2 Year,,15959,15959,15959,15959,,,,,,
Goodwin College,Connecticut,CT,Private,2 Year,,20888,20888,20888,20888,,,,,,
Gordon College,Massachusetts,MA,Private,4 Year,11070,37400,48470,37400,48470,,,,,,
Gordon State College,Georgia,GA,Public,2 Year,6656,4292,10948,12714,19370,,,,,,
Goshen College,Indiana,IN,Private,4 Year,10650,33700,44350,33700,44350,,,,,,
Goucher College,Maryland,MD,Private,4 Year,14506,44300,58806,44300,58806,17,Maryland,49400,90600,42,11
Governors State University,Illinois,IL,Public,4 Year,10346,12196,22542,21586,31932,,,,,,
Grace Bible College,Michigan,MI,Private,4 Year,7700,19950,27650,19950,27650,,,,,,
Grace College,Indiana,IN,Private,4 Year,9134,24768,33902,24768,33902,,,,,,
Grace University,Nebraska,NE,Private,4 Year,6912,23030,29942,23030,29942,,,,,,
Graceland University,Iowa,IA,Private,4 Year,8760,29240,38000,29240,38000,,,,,,
Grambling State University,Louisiana,LA,Public,4 Year,7192,7435,14627,16458,23650,21,Louisiana,43100,73100,66,10
Grand Canyon University,Arizona,AZ,For Profit,4 Year,10100,27090,37190,27090,37190,,,,,,
Grand Rapids Community College,Michigan,MI,Public,2 Year,,3879,3879,11319,11319,,,,,,
Grand Valley State University,Michigan,MI,Public,4 Year,8690,12484,21174,17762,26452,,,,,,
Grand View University,Iowa,IA,Private,4 Year,9178,27608,36786,27608,36786,,,,,,
Granite State College,New Hampshire,NH,Public,4 Year,,9645,9645,10875,10875,13,New-Hampshire,43500,76900,67,3
Grantham University,Kansas,KS,For Profit,4 Year,,6540,6540,6540,6540,,,,,,
Gratz College,Pennsylvania,PA,Private,4 Year,,17630,17630,17630,17630,,,,,,
Grays Harbor College,Washington,WA,Public,2 Year,,4620,4620,5043,5043,,,,,,
Grayson College,Texas,TX,Public,2 Year,5700,3600,9300,6120,11820,,,,,,
Great Basin College,Nevada,NV,Public,4 Year,3366,3128,6494,9542,12908,,,,,,
Great Bay Community College,New Hampshire,NH,Public,2 Year,,7200,7200,15450,15450,,,,,,
Great Falls College Montana State University,Montana,MT,Public,2 Year,,3386,3386,10278,10278,,,,,,
Great Lakes Christian College,Michigan,MI,Private,4 Year,8800,17220,26020,17220,26020,,,,,,
Green Mountain College,Vermont,VT,Private,4 Year,11722,37002,48724,37002,48724,12,Vermont,42000,75200,57,2
Green River College,Washington,WA,Public,4 Year,,4581,4581,4581,4581,,,,,,
Greenfield Community College,Massachusetts,MA,Public,2 Year,,6932,6932,14582,14582,,,,,,
Greensboro College,North Carolina,NC,Private,4 Year,10800,29140,39940,29140,39940,,,,,,
Greenville Technical College,South Carolina,SC,Public,2 Year,,5580,5580,11100,11100,,,,,,
Greenville University,Illinois,IL,Private,4 Year,9048,27152,36200,27152,36200,,,,,,
Grinnell College,Iowa,IA,Private,4 Year,12810,52392,65202,52392,65202,4,Iowa,53400,96500,49,41
Grossmont College,California,CA,Public,2 Year,,1418,1418,9158,9158,,,,,,
Grove City College,Pennsylvania,PA,Private,4 Year,9770,17930,27700,17930,27700,24,Pennsylvania,54400,98400,53,29
Guam Community College,,GU,Public,2 Year,,4194,4194,4944,4944,,,,,,
Guilford College,North Carolina,NC,Private,4 Year,11200,38250,49450,38250,49450,,,,,,
Guilford Technical Community College,North Carolina,NC,Public,2 Year,,2333,2333,8093,8093,,,,,,
Gulf Coast State College,Florida,FL,Public,2 Year,,2963,2963,10791,10791,,,,,,
Gupton Jones College of Funeral Service,Georgia,GA,Private,2 Year,,11750,11750,11750,11750,,,,,,
Gustavus Adolphus College,Minnesota,MN,Private,4 Year,9910,45400,55310,45400,55310,7,Minnesota,51200,96800,47,22
Gutenberg College,Oregon,OR,Private,4 Year,5000,13650,18650,13650,18650,,,,,,
Gwinnett College,Georgia,GA,For Profit,2 Year,,9850,9850,9850,9850,,,,,,
Gwinnett Technical College,Georgia,GA,Public,2 Year,,3506,3506,6176,6176,,,,,,
Gwynedd Mercy University,Pennsylvania,PA,Private,4 Year,12370,35600,47970,35600,47970,,,,,,
Hagerstown Community College,Maryland,MD,Public,2 Year,,4050,4050,7920,7920,,,,,,
Halifax Community College,North Carolina,NC,Public,2 Year,,2452,2452,8212,8212,,,,,,
Hamilton College,New York,NY,Private,4 Year,13870,54620,68490,54620,68490,23,New-York,62600,108100,45,25
Hamline University,Minnesota,MN,Private,4 Year,10358,41298,51656,41298,51656,14,Minnesota,48100,90400,52,5
Hampden-Sydney College,Virginia,VA,Private,4 Year,13558,45746,59304,45746,59304,6,Virginia,58300,108600,52,20
Hampshire College,Massachusetts,MA,Private,4 Year,13606,51668,65274,51668,65274,,,,,,
Hampton University,Virginia,VA,Private,4 Year,11778,26702,38480,26702,38480,13,Virginia,52700,92600,61,12
Hannibal-LaGrange University,Missouri,MO,Private,4 Year,8108,22750,30858,22750,30858,,,,,,
Hanover College,Indiana,IN,Private,4 Year,11580,37670,49250,37670,49250,18,Indiana,47500,85100,53,24
Harcum College,Pennsylvania,PA,Private,2 Year,10200,24200,34400,24200,34400,,,,,,
Hardin-Simmons University,Texas,TX,Private,4 Year,8080,28990,37070,28990,37070,,,,,,
Harding University,Arkansas,AR,Private,4 Year,7044,20135,27179,20135,27179,4,Arkansas,49200,88600,47,10
Harford Community College,Maryland,MD,Public,2 Year,,4644,4644,10075,10075,,,,,,
Harper College,Illinois,IL,Public,2 Year,,4578,4578,14553,14553,,,,,,
Harris-Stowe State University,Missouri,MO,Public,4 Year,9250,5340,14590,9973,19223,,,,,,
Harrisburg Area Community College,Pennsylvania,PA,Public,2 Year,,6683,6683,9135,9135,,,,,,
Harrisburg University of Science and Technology,Pennsylvania,PA,Private,4 Year,6800,23900,30700,23900,30700,,,,,,
Hartnell College,California,CA,Public,2 Year,,1400,1400,8870,8870,,,,,,
Hartwick College,New York,NY,Private,4 Year,12460,45510,57970,45510,57970,,,,,,
Harvard College,Massachusetts,MA,Private,4 Year,17160,50420,67580,50420,67580,,,,,,
Harvey Mudd College,California,CA,Private,4 Year,18127,56876,75003,56876,75003,1,California,88800,158200,55,85
Haskell Indian Nations University,Kansas,KS,Public,4 Year,950,480,1430,480,1430,,,,,,
Hastings College,Nebraska,NE,Private,4 Year,9700,30050,39750,30050,39750,8,Nebraska,48600,87100,55,14
Haverford College,Pennsylvania,PA,Private,4 Year,16402,54592,70994,54592,70994,10,Pennsylvania,59300,112300,47,36
Hawaii Pacific University,Hawaii,HI,Private,4 Year,14800,25980,40780,25980,40780,2,Hawaii,52200,93500,56,15
Hawaii Tokai International College,Hawaii,HI,Private,2 Year,9000,13485,22485,13485,22485,,,,,,
Hawkeye Community College,Iowa,IA,Public,2 Year,,6360,6360,6600,6600,,,,,,
Haywood Community College,North Carolina,NC,Public,2 Year,,2383,2383,8143,8143,,,,,,
Hazard Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,
Heartland Community College,Illinois,IL,Public,2 Year,,4590,4590,13110,13110,,,,,,
Hebrew Theological College,Illinois,IL,Private,4 Year,12380,12920,25300,12920,25300,,,,,,
Heidelberg University,Ohio,OH,Private,4 Year,10400,31000,41400,31000,41400,,,,,,
Helena College University of Montana,Montana,MT,Public,2 Year,,3349,3349,9083,9083,,,,,,
Helene Fuld College of Nursing,New York,NY,Private,2 Year,,21286,21286,21286,21286,,,,,,
Hellenic College/Holy Cross,Massachusetts,MA,Private,4 Year,16192,22490,38682,22490,38682,,,,,,
Henderson Community College,Kentucky,KY,Public,2 Year,,5550,5550,18000,18000,,,,,,
Henderson State University,Arkansas,AR,Public,4 Year,7504,8436,15940,10086,17590,10,Arkansas,42900,79800,57,5
Hendrix College,Arkansas,AR,Private,4 Year,12284,45790,58074,45790,58074,2,Arkansas,48100,90300,58,33
Hennepin Technical College,Minnesota,MN,Public,2 Year,,5119,5119,5119,5119,,,,,,
Henry Ford College,Michigan,MI,Public,2 Year,,3850,3850,8380,8380,,,,,,
Heritage Christian University,Alabama,AL,Private,4 Year,5745,12312,18057,12312,18057,,,,,,
Heritage University,Washington,WA,Private,4 Year,,18124,18124,18124,18124,25,Washington,41100,73600,,17
Herkimer County Community College,New York,NY,Public,2 Year,10128,5320,15448,7950,18078,,,,,,
Hesston College,Kansas,KS,Private,2 Year,8800,26900,35700,26900,35700,,,,,,
Hibbing Community College,Minnesota,MN,Public,2 Year,3380,5336,8716,5336,8716,,,,,,
High Point University,North Carolina,NC,Private,4 Year,14130,35118,49248,35118,49248,12,North-Carolina,48600,84300,50,8
Highland Community College,Illinois,IL,Public,2 Year,,5220,5220,8160,8160,,,,,,
Highland Community College,Kansas,KS,Public,2 Year,6528,3030,9558,3510,10038,,,,,,
Highline College,Washington,WA,Public,2 Year,,4027,4027,4461,4461,,,,,,
Hilbert College,New York,NY,Private,4 Year,9350,22400,31750,22400,31750,,,,,,
Hill College,Texas,TX,Public,2 Year,3850,2970,6820,4120,7970,,,,,,
Hillsborough Community College,Florida,FL,Public,2 Year,,3132,3132,11388,11388,,,,,,
Hillsdale College,Michigan,MI,Private,4 Year,11000,27577,38577,27577,38577,,,,,,
Hinds Community College,Mississippi,MS,Public,2 Year,4120,3130,7250,6170,10290,,,,,,
Hiram College,Ohio,OH,Private,4 Year,10290,34300,44590,34300,44590,,,,,,
Hiwassee College,Tennessee,TN,Private,2 Year,7987,19571,27558,19571,27558,,,,,,
Hobart and William Smith Colleges,New York,NY,Private,4 Year,14785,55255,70040,55255,70040,,,,,,
Hobe Sound Bible College,Florida,FL,Private,4 Year,6170,6490,12660,6490,12660,,,,,,
Hocking College,Ohio,OH,Public,2 Year,8560,4390,12950,8790,17350,,,,,,
Hodges University,Florida,FL,Private,4 Year,,17600,17600,17600,17600,,,,,,
Hofstra University,New York,NY,Private,4 Year,15948,46760,62708,46760,62708,18,New-York,57300,110400,38,7
Hollins University,Virginia,VA,Private,4 Year,13520,39035,52555,39035,52555,,,,,,
Holmes Community College,Mississippi,MS,Public,2 Year,3080,3110,6190,5690,8770,,,,,,
Holy Apostles College and Seminary,Connecticut,CT,Private,4 Year,,9670,9670,9670,9670,,,,,,
Holy Cross College,Indiana,IN,Private,4 Year,11500,30820,42320,30820,42320,15,Indiana,48100,87800,,0
Holy Family University,Pennsylvania,PA,Private,4 Year,13576,30346,43922,30346,43922,,,,,,
Holy Names University,California,CA,Private,4 Year,13190,39316,52506,39316,52506,,,,,,
Holy Trinity Orthodox Seminary,New York,NY,Private,4 Year,5290,7700,12990,7700,12990,,,,,,
Holyoke Community College,Massachusetts,MA,Public,2 Year,,5760,5760,11940,11940,,,,,,
Hood College,Maryland,MD,Private,4 Year,12700,39492,52192,39492,52192,25,Maryland,47900,82600,49,32
Hope College,Michigan,MI,Private,4 Year,10310,34010,44320,34010,44320,14,Michigan,49200,90900,51,18
Hope International University,California,CA,Private,4 Year,10490,33400,43890,33400,43890,,,,,,
Hopkinsville Community College,Kentucky,KY,Public,2 Year,,5070,5070,17760,17760,,,,,,
Horizon University,California,CA,Private,4 Year,,7700,7700,7700,7700,,,,,,
Horry-Georgetown Technical College,South Carolina,SC,Public,2 Year,,5248,5248,10408,10408,,,,,,
Houghton College,New York,NY,Private,4 Year,9288,32488,41776,32488,41776,,,,,,
Housatonic Community College,Connecticut,CT,Public,2 Year,,4394,4394,13162,13162,,,,,,
Houston Baptist University,Texas,TX,Private,4 Year,8814,32530,41344,32530,41344,,,,,,
Houston Community College System,Texas,TX,Public,2 Year,,2031,2031,4686,4686,,,,,,
Howard College,Texas,TX,Public,2 Year,4834,2560,7394,5420,10254,,,,,,
Howard Community College,Maryland,MD,Public,2 Year,,4920,4920,9060,9060,,,,,,
Howard Payne University,Texas,TX,Private,4 Year,8386,28090,36476,28090,36476,,,,,,
Howard University,,DC,Private,4 Year,13895,27056,40951,27056,40951,,,,,,
Hudson County Community College,New Jersey,NJ,Public,2 Year,,5718,5718,14028,14028,,,,,,
Hudson Valley Community College,New York,NY,Public,2 Year,,5640,5640,12915,12915,,,,,,
Huertas College,,PR,For Profit,2 Year,,6635,6635,6635,6635,,,,,,
Hult International Business School,California,CA,Private,4 Year,15000,40650,55650,40650,55650,,,,,,
Humacao Community College,,PR,Private,2 Year,3000,5382,8382,5382,8382,,,,,,
Humboldt State University,California,CA,Public,4 Year,12870,7676,20546,19556,32426,,,,,,
Humphreys College,California,CA,Private,4 Year,,14292,14292,14292,14292,,,,,,
Huntingdon College,Alabama,AL,Private,4 Year,9750,27400,37150,27400,37150,14,Alabama,42400,78900,69,14
Huntington College of Health Sciences,Tennessee,TN,For Profit,2 Year,,6635,6635,6635,6635,,,,,,
Huntington University,Indiana,IN,Private,4 Year,8668,26180,34848,26180,34848,,,,,,
Huntsville Bible College,Alabama,AL,Private,4 Year,,5390,5390,5390,5390,,,,,,
"Hussian College, School of Art",Pennsylvania,PA,For Profit,2 Year,,21990,21990,21990,21990,,,,,,
Husson University,Maine,ME,Private,4 Year,9830,18180,28010,18180,28010,10,Maine,43300,77600,52,1
Huston-Tillotson University,Texas,TX,Private,4 Year,7568,14346,21914,14346,21914,,,,,,
Hutchinson Community College,Kansas,KS,Public,2 Year,5800,3000,8800,4230,10030,,,,,,
IBMC College: Fort Collins,Colorado,CO,For Profit,2 Year,,13010,13010,13010,13010,,,,,,
ICPR Junior College,,PR,For Profit,2 Year,4000,7010,11010,7010,11010,,,,,,
Idaho State University,Idaho,ID,Public,4 Year,7207,7420,14627,22940,30147,3,Idaho,50800,91800,64,12
Ilisagvik College,Alaska,AK,Public,2 Year,13000,4300,17300,4300,17300,,,,,,
Illinois Central College,Illinois,IL,Public,2 Year,,4500,4500,11340,11340,,,,,,
Illinois College,Illinois,IL,Private,4 Year,9280,33090,42370,33090,42370,,,,,,
Illinois Eastern Community Colleges: Frontier Community College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008,,,,,,
Illinois Eastern Community Colleges: Lincoln Trail College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008,,,,,,
Illinois Eastern Community Colleges: Olney Central College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008,,,,,,
Illinois Eastern Community Colleges: Wabash Valley College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008,,,,,,
Illinois Institute of Technology,Illinois,IL,Private,4 Year,12762,47296,60058,47296,60058,1,Illinois,64600,118500,47,64
Illinois State University,Illinois,IL,Public,4 Year,9850,14516,24366,26040,35890,16,Illinois,51200,95000,47,10
Illinois Valley Community College,Illinois,IL,Public,2 Year,,4015,4015,11793,11793,,,,,,
Illinois Wesleyan University,Illinois,IL,Private,4 Year,10984,47636,58620,47636,58620,12,Illinois,53100,96000,44,18
Immaculata University,Pennsylvania,PA,Private,4 Year,12620,27350,39970,27350,39970,,,,,,
Imperial Valley College,California,CA,Public,2 Year,,1420,1420,9010,9010,,,,,,
Independence Community College,Kansas,KS,Public,2 Year,5168,2910,8078,3300,8468,,,,,,
Indian River State College,Florida,FL,Public,2 Year,,3115,3115,11715,11715,,,,,,
Indiana Institute of Technology,Indiana,IN,Private,4 Year,10020,26900,36920,26900,36920,19,Indiana,50000,84900,46,11
Indiana State University,Indiana,IN,Public,4 Year,10590,9090,19680,19836,30426,17,Indiana,47900,85600,55,8
Indiana University Bloomington,Indiana,IN,Public,4 Year,10465,10681,21146,35456,45921,,,,,,
Indiana University East,Indiana,IN,Public,4 Year,,7344,7344,19400,19400,,,,,,
Indiana University Kokomo,Indiana,IN,Public,4 Year,,7344,7344,19400,19400,,,,,,
Indiana University Northwest,Indiana,IN,Public,4 Year,,7344,7344,19400,19400,,,,,,
Indiana University of Pennsylvania,Pennsylvania,PA,Public,4 Year,12592,12979,25571,17299,29891,,,,,,
Indiana University South Bend,Indiana,IN,Public,4 Year,7309,7344,14653,19400,26709,,,,,,
Indiana University Southeast,Indiana,IN,Public,4 Year,6780,7344,14124,19400,26180,,,,,,
Indiana University-Purdue University Fort Wayne,Indiana,IN,Public,4 Year,5996,8450,14446,20288,26284,,,,,,
Indiana University-Purdue University Indianapolis,Indiana,IN,Public,4 Year,8924,9465,18389,29821,38745,,,,,,
Indiana Wesleyan University,Indiana,IN,Private,4 Year,8312,25980,34292,25980,34292,,,,,,
Institute of American Indian Arts,New Mexico,NM,Public,4 Year,9604,4980,14584,4980,14584,,,,,,
Inter American University of Puerto Rico: Aguadilla Campus,,PR,Private,4 Year,,6262,6262,6262,6262,,,,,,
Inter American University of Puerto Rico: Arecibo Campus,,PR,Private,4 Year,,6452,6452,6452,6452,,,,,,
Inter American University of Puerto Rico: Barranquitas Campus,,PR,Private,4 Year,,6262,6262,6262,6262,,,,,,
Inter American University of Puerto Rico: Bayamon Campus,,PR,Private,4 Year,7993,5898,13891,5898,13891,,,,,,
Inter American University of Puerto Rico: Fajardo Campus,,PR,Private,4 Year,,5898,5898,5898,5898,,,,,,
Inter American University of Puerto Rico: Guayama Campus,,PR,Private,4 Year,,6452,6452,6452,6452,,,,,,
Inter American University of Puerto Rico: Metropolitan Campus,,PR,Private,4 Year,,7476,7476,7476,7476,,,,,,
Inter American University of Puerto Rico: Ponce Campus,,PR,Private,4 Year,,5220,5220,5220,5220,,,,,,
Inter American University of Puerto Rico: San German Campus,,PR,Private,4 Year,3900,5976,9876,5976,9876,,,,,,
International Baptist College,Arizona,AZ,Private,4 Year,6200,11250,17450,11250,17450,,,,,,
International College of Broadcasting,Ohio,OH,For Profit,2 Year,,31950,31950,31950,31950,,,,,,
Inver Hills Community College,Minnesota,MN,Public,2 Year,,5332,5332,5332,5332,,,,,,
Iona College,New York,NY,Private,4 Year,15278,38812,54090,38812,54090,,,,,,
Iowa Central Community College,Iowa,IA,Public,2 Year,6850,5490,12340,7890,14740,,,,,,
Iowa Lakes Community College,Iowa,IA,Public,2 Year,6750,6058,12808,6388,13138,,,,,,
Iowa State University,Iowa,IA,Public,4 Year,8720,8988,17708,23392,32112,1,Iowa,56100,101300,48,31
Iowa Wesleyan College,Iowa,IA,Private,4 Year,10500,30500,41000,30500,41000,,,,,,
Iowa Western Community College,Iowa,IA,Public,2 Year,6430,5615,12045,5765,12195,,,,,,
Irvine Valley College,California,CA,Public,2 Year,,1418,1418,9608,9608,,,,,,
Island Drafting and Technical Institute,New York,NY,For Profit,2 Year,,16650,16650,16650,16650,,,,,,
Isothermal Community College,North Carolina,NC,Public,2 Year,,2334,2334,8094,8094,,,,,,
Itasca Community College,Minnesota,MN,Public,2 Year,5920,5920,11840,7102,13022,,,,,,
Itawamba Community College,Mississippi,MS,Public,2 Year,3900,3020,6920,5220,9120,,,,,,
Ithaca College,New York,NY,Private,4 Year,15562,43978,59540,43978,59540,,,,,,
Ivy Tech Community College: Bloomington,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Central Indiana,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Columbus,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Kokomo,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Lafayette,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Muncie,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: North Central,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Northeast,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Northwest,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Richmond,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: South Central,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Southeast,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Southwest,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
Ivy Tech Community College: Wabash Valley,Indiana,IN,Public,2 Year,,4368,4368,8402,8402,,,,,,
J. Sargeant Reynolds Community College,Virginia,VA,Public,2 Year,,5508,5508,11436,11436,,,,,,
Jackson College,Michigan,MI,Public,2 Year,,5910,5910,10500,10500,,,,,,
Jackson State Community College,Tennessee,TN,Public,2 Year,,4425,4425,13191,13191,,,,,,
Jackson State University,Mississippi,MS,Public,4 Year,9552,8226,17778,19454,29006,6,Mississippi,41700,74600,67,16
Jacksonville College,Texas,TX,Private,2 Year,6400,8000,14400,8000,14400,,,,,,
Jacksonville State University,Alabama,AL,Public,4 Year,8100,10425,18525,20145,28245,12,Alabama,43800,80000,61,7
Jacksonville University,Florida,FL,Private,4 Year,14080,36670,50750,36670,50750,12,Florida,50100,90400,66,5
James A. Rhodes State College,Ohio,OH,Public,2 Year,,5104,5104,10210,10210,,,,,,
James Madison University,Virginia,VA,Public,4 Year,10092,12016,22108,28416,38508,9,Virginia,57400,102600,42,12
James Sprunt Community College,North Carolina,NC,Public,2 Year,,2501,2501,8645,8645,,,,,,
Jamestown Business College,New York,NY,For Profit,2 Year,,12600,12600,12600,12600,,,,,,
Jamestown Community College,New York,NY,Public,2 Year,10750,5850,16600,10720,21470,,,,,,
Jarvis Christian College,Texas,TX,Private,4 Year,8440,11720,20160,11720,20160,,,,,,
Jefferson College,Missouri,MO,Public,2 Year,6156,3330,9486,6510,12666,,,,,,
Jefferson College of Health Sciences,Virginia,VA,Private,4 Year,5870,26886,32756,26886,32756,11,Virginia,55500,97600,86,1
Jefferson Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,
Jefferson Community College,New York,NY,Public,2 Year,11666,5424,17090,10176,21842,,,,,,
Jefferson State Community College,Alabama,AL,Public,2 Year,,4800,4800,8370,8370,,,,,,
Jewish Theological Seminary of America,New York,NY,Private,4 Year,12570,51326,63896,51326,63896,,,,,,
JNA Institute of Culinary Arts,Pennsylvania,PA,For Profit,2 Year,,12725,12725,12725,12725,,,,,,
